sheepID,app,pen,breed,timeout,self,other,guest,prop,near,engsheep,engvisitor
33,a,2,2,5,1,0,6,2,4,3,12
51,d,1,2,8,9,0,5,1,1,4,3
60,a,2,1,7,2,0,2,0,0,3,0
79,b,1,1,6,3,0,1,6,0,2,0
96,c,1,2,3,7,0,5,9,0,3,0
111,d,1,2,1,1,0,17,2,3,1,2
158,c,2,2,9,2,0,11,1,9,2,2
172,b,1,2,8,2,0,7,2,5,1,0
197,b,1,2,5,4,0,6,0,2,2,0
249,a,2,2,9,1,0,0,0,2,0,0
253,b,1,1,9,7,0,1.7,2,6,2,0
283,c,2,2,1,3,0,1,1,4,3,0
302,c,2,2,3,18,0,15,0,13,6,5
316,a,2,2,8,1,0,7,4,1,3,5
329,b,2,1,7,5,0,2,0,0,0,0
338,d,1,1,1,4,0,32.2,1,9,8,1
356,b,2,2,4,2,0,3,3,5,21,0
357,b,1,2,2,18,0,11,5,2,9,0
367,c,1,1,6,15,0,3,1,11,6,0
416,b,1,1,5,6,0,9,1,4,10,0
427,b,1,2,3,0,0,3,0,0,3,0
543,c,1,2,2,6,0,6,3,2,3,1
657,c,1,1,7,6,0.3,7,4,2,10,1
692,a,1,1,5,5,0,5.7,7,1,2,0
722,c,1,1,6,12,0,28.4,0,3,0,0
762,a,1,2,2,3,0,1,0,0,1,0
790,a,1,1,1,5,0,12.4,5,3,4,0
810,b,2,2,4,0,0,2,2,0,1,0
825,a,1,2,1,9,0,8,6,2,3,1
846,c,2,1,4,0,0,4,2,4,9,0
929,d,1,2,3,7,0,0,2,5,11,0
947,b,2,1,3,6,0,5,4,0,4,0
967,b,1,2,1,2,0,0,1,2,5,0
975,c,2,2,8,4,0,4,13,5,1,10
1009,d,1,1,9,13,1.6,6,31,8,8,3
1034,c,2,1,9,2,0,9,1,3,1,0
1052,d,2,2,2,9,0,8,1,11,9,0
1072,c,2,2,4,1,0,7,0,4,15,0
1121,b,1,2,7,11,1,13,1,1,3,7
1139,c,1,1,3,6,0,10,2,5,10,9
1151,d,2,2,2,1,0,5,0,7,3,3
1178,b,1,1,7,6,0,5,1,0,1,0
1325,a,2,2,7,7,0,10,11,3,0,1
1330,d,2,2,4,2,0,8,3,3,5,0
1370,c,2,2,2,0,0,3,0,1,11,0
1396,b,1,2,7,7,0,2,1,0,8,1
1478,b,1,1,7,10,1,6.7,1,2,0,0
1517,b,1,2,4,5,0,7,0,7,17,2
1588,b,2,2,8,1,0,6,13,4,4,0
1598,b,1,1,4,5,1.6,15.1,0,3,0,1
1646,c,1,1,8,4,0,17.7,4,3,2,0
1667,d,1,2,1,6,0,12,2,10,23,2
1684,c,1,2,4,11,0,14,2,7,11,1
1697,c,2,1,5,3,0,13,1,6,4,0
1704,d,1,1,4,9,0.3,1,1,1,2,5
1833,a,1,2,9,13,0,4,0,1,1,0
1862,d,1,1,4,1,0,5,0,0,3,0
1867,d,1,1,7,3,0,7.4,4,6,4,2
1869,a,1,1,2,1,0,3,0,3,5,0
1946,b,2,1,1,2,0,9,5,0,4,0
1952,d,1,2,8,1,0,5,1,1,1,0
1954,a,1,2,1,5,0,4,1,0,3,0
1957,c,1,2,5,9,0,11,3,14,0,0
2022,a,1,1,4,8,0,8.1,6,7,5,3
2060,c,2,1,7,4,0,2,1,1,4,0
2098,b,2,2,6,5,0,9,1,2,4,2
2108,a,2,2,8,7,1,17,8,14,9,6
2187,b,1,2,1,1,1,6,0,2,1,4
2205,c,2,1,2,12,0,10,2,11,6,0
2217,a,1,2,1,8,0,7,0,0,3,0
2229,a,2,1,9,10,0,3,1,2,0,1
2247,d,1,2,5,9,0,2,0,1,6,0
2249,b,1,2,9,4,0,2,0,2,2,0
2282,d,1,2,9,3,0,5,6,0,1,0
2285,d,2,1,8,4,1,3,5,9,2,1
2443,c,1,2,9,4,0,3,3,0,0,0
2444,d,1,2,6,0,0,2,0,2,2,0
2463,b,2,1,2,9,0,5,2,3,9,0
2510,d,1,2,9,14,0,4,9,5,9,11
2607,a,2,1,3,0,1,18,2,3,2,0
2667,c,2,1,8,1,0,11,3,7,2,3
2799,a,2,2,3,4,0,3,0,5,1,0
2826,d,1,2,4,1,0,2,3,2,6,0
2827,d,1,2,7,8,0,19,2,3,11,0
2866,b,1,2,5,3,0,16,2,5,1,0
2902,d,2,2,7,2,0,9,20,8,2,5
2913,b,2,2,7,0,0,1,3,2,2,0
2934,c,2,1,3,0,0,2,2,0,5,0
2959,b,1,2,3,1,1,4,0,0,1,0
2972,b,1,2,7,2,0,19,5,1,18,1
3015,b,2,1,8,3,0,7,2,5,1,0
3022,c,1,2,1,8,0,4,13,1,4,0
3117,b,2,1,7,10,1,18,3,3,3,3
3173,d,1,2,1,6,0,1,1,2,4,0
3356,a,1,1,7,2,0.3,6,0,0,2,0
3392,b,2,2,8,2,0,9,0,8,13,0
3400,b,2,2,3,11,0,10,3,7,2,1
3408,d,1,2,3,3,0,8,1,9,10,3
3422,a,1,1,6,3,0,6,0,0,0,0
3426,a,2,2,9,9,0,6,2,7,2,1
3432,b,1,2,1,3,0,4,0,4,5,0
3561,d,1,1,1,5,0,5,0,4,3,0
3684,c,1,1,4,7,0.3,6,4,11,2,1
3762,a,1,1,3,1,0,6,8,5,4,5
3771,a,1,2,3,10,1,9,4,2,3,0
3796,d,1,1,7,3,0,1,3,2,3,0
3801,a,2,1,2,4,0,5,1,12,4,5
3846,d,2,1,5,9,1,10,1,4,5,2
3898,c,1,1,6,6,0,18.5,20,5,16,1
3966,b,1,1,8,8,0,16.4,0,5,8,2
3974,d,1,1,1,0,0.6,8,6,2,4,2
4019,c,2,1,4,4,1,10,13,9,4,2
4075,b,1,1,6,13,0,13.4,3,8,12,0
4158,d,1,2,5,1,0,1,3,1,1,0
4189,c,1,2,6,2,0,6,3,2,4,0
4221,a,1,2,9,5,1,7,1,4,3,2
4234,c,2,1,5,5,0,11,14,9,2,1
4244,b,1,2,5,1,0,3,1,1,10,1
4368,a,1,1,7,7,3.6,26,1,7,6,3
4567,c,2,2,2,12,3,31,0,8,4,1
4590,a,1,1,8,4,0.3,16.1,8,9,2,1
4656,b,2,2,1,2,0,18,2,9,5,0
4720,b,2,2,5,0,0,2,2,3,2,1
4738,a,2,2,6,2,0,0,0,2,10,2
4847,d,2,2,6,1,0,5,2,2,2,1
4924,c,1,1,2,2,0,3.7,10,7,9,7
4981,b,1,2,4,9,0,10,1,3,0,0
5262,b,1,1,2,4,0,5,1,1,4,1
5425,d,1,1,8,1,0,6.7,0,4,8,4
5457,d,1,1,3,2,3.1,16,2,6,3,9
5542,d,1,2,1,12,0,15,5,5,5,0
5626,c,1,1,5,3,0,4,5,8,2,2
5778,b,2,1,4,3,1,7,5,2,8,3
5808,c,2,1,1,5,0,2,2,2,15,0
5889,d,2,1,3,2,0,13,6,10,0,3
5994,b,2,1,6,6,0,6,2,2,0,0
6028,c,2,1,1,1,0,7,0,2,6,1
6040,a,2,1,8,5,0,6,4,3,2,1
6067,d,2,1,5,5,0,15,9,14,5,0
6261,b,1,2,4,5,0,2,10,1,10,1
6304,b,2,1,4,1,0,4,0,0,4,0
6342,b,2,1,6,2,0,6,0,1,2,0
6433,d,2,1,7,2,0,8,1,1,0,0
6516,c,2,1,2,13,0,19,4,3,4,7
6863,b,1,1,8,1,1,2.7,3,7,1,0
6904,d,2,1,4,3,0,3,8,6,1,2
7132,d,1,2,8,0,0,1,0,2,1,0
7142,d,2,2,6,1,0,0,2,3,10,1
7174,a,2,1,4,2,0,13,1,8,2,0
7370,d,2,2,1,2,6,15,2,2,5,0
7568,a,1,1,5,8,0.3,12.5,1,1,0,16
7882,c,1,1,6,10,0.9,7,1,6,4,37
8052,a,2,2,5,1,0,2,2,3,2,1
8174,d,1,1,8,11,0,5,3,3,1,0
8304,b,2,2,1,1,0,6,6,3,0,3
8343,b,1,1,3,5,0.3,16.7,2,0,1,0
8607,b,2,1,2,6,0,11,1,1,3,0
8667,c,1,1,3,9,1.5,18.8,4,20,1,0
8713,b,2,1,5,6,1,10,3,3,7,0
8764,a,2,2,1,2,0,7,1,11,0,5
9298,d,1,2,6,7,0,3,5,1,7,1
9349,b,1,1,4,5,0.3,20.9,2,8,1,1
28068,a,2,2,6,4,0,3,1,2,0,0
28070,c,2,2,1,6,0,14,1,6,4,0
28091,d,1,2,7,9,0,11,3,6,9,8
28094,b,1,2,6,4,0,1,2,2,9,0
28097,b,1,1,1,8,0,18.4,2,0,0,0
28101,c,1,1,2,9,0.3,9.4,0,13,5,0
28108,c,1,1,4,3,0,10.7,0,8,7,14
28131,a,2,2,7,8,0,3,0,3,6,1
28133,c,2,2,7,0,0,0,2,2,8,2
28135,c,1,1,4,7,16.9,14.8,2,4,0,10
28136,a,1,1,3,0,0,1,2,3,8,0
28141,c,1,1,2,1,1.2,14,1,2,13,3